,rougeLsum,length,str_em,Disambig-F1
0,41.37931034482759,18.0,33.33333333333333,33.33333333333333
1,38.46153846153846,22.0,66.66666666666666,66.66666666666666
2,38.70967741935484,29.0,0.0,25.0
3,24.778761061946902,15.0,33.33333333333333,19.04761904761905
4,29.78723404255319,13.0,50.0,50.0
5,37.096774193548384,36.0,25.0,25.0
6,22.222222222222225,20.0,50.0,50.0
7,37.03703703703704,7.0,100.0,100.0
8,25.454545454545457,11.0,100.0,100.0
9,32.0,38.0,100.0,100.0
10,21.897810218978105,33.0,0.0,15.384615384615385
11,23.076923076923077,3.0,50.0,61.111111111111114
12,35.55555555555556,8.0,50.0,16.666666666666668
13,26.666666666666668,33.0,0.0,5.555555555555555
14,25.454545454545453,10.0,50.0,54.166666666666664
15,3.225806451612903,1.0,33.33333333333333,33.33333333333333
16,20.253164556962027,13.0,50.0,75.0
17,49.12280701754386,34.0,0.0,16.666666666666664
18,52.054794520547944,33.0,100.0,100.0
19,16.901408450704224,10.0,0.0,0.0
